main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:20:23	hash_cap	import java.util.LinkedHashMap;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:20:23	hash_lower	import java.util.LinkedHashMap;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:20:23	hash_upper	import java.util.LinkedHashMap;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:21:23	hash_cap	import java.util.LinkedHashSet;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:21:23	hash_lower	import java.util.LinkedHashSet;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:21:23	hash_upper	import java.util.LinkedHashSet;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:25:17	uuid_lower	import java.util.UUID;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:25:17	uuid_mixed	import java.util.UUID;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:25:17	uuid_upper	import java.util.UUID;
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:113:56	hash_cap	quality, lineage, List.copyOf(new LinkedHashSet<>(warnings)));
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:113:56	hash_lower	quality, lineage, List.copyOf(new LinkedHashSet<>(warnings)));
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:113:56	hash_upper	quality, lineage, List.copyOf(new LinkedHashSet<>(warnings)));
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:121:51	hash_cap	Set<String> definitionVersions = new LinkedHashSet<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:121:51	hash_lower	Set<String> definitionVersions = new LinkedHashSet<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:121:51	hash_upper	Set<String> definitionVersions = new LinkedHashSet<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:136:48	hash_cap	Map<String, BigDecimal> out = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:136:48	hash_lower	Map<String, BigDecimal> out = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:136:48	hash_upper	Map<String, BigDecimal> out = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:158:55	hash_cap	Map<String, BigDecimal> deltaRates = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:158:55	hash_lower	Map<String, BigDecimal> deltaRates = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:158:55	hash_upper	Map<String, BigDecimal> deltaRates = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:176:54	hash_cap	Map<String, String> baselineNames = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:176:54	hash_lower	Map<String, String> baselineNames = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:176:54	hash_upper	Map<String, String> baselineNames = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:222:81	hash_cap	Map<String, List<EvidencePackage.DimensionContribution>> out = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:222:81	hash_lower	Map<String, List<EvidencePackage.DimensionContribution>> out = new LinkedHashMap<>();
main	analytics-server	analytics-server\ai-decision\src\main\java\com\graduation\analytics\ai\evidence\EvidenceBuilder.java:222:81	hash_upper	Map<String, List<EvidencePackage.DimensionContribution>> out = new LinkedHashMap<>();
