SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\quarantine\29\r9-prunefix-105922.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\r9-prunefix-110637.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\r9-qualityfail-103736.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\30\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\30\r9-m1-123006.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\31\gen-s3b-1000-20260911.jsonl	0	1	0	
landing\quarantine\31\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\32\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\33\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\34\2026091115.jsonl	0	1	0	
landing\quarantine\34\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\35\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\36\b08-gate-20260911-1555.jsonl	0	1	0	
landing\quarantine\36\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\37\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\38\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\39\b11-fixture-20260911162916.jsonl	0	1	0	
landing\quarantine\39\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\4\2026090621.jsonl	1111	4	3	CONTRACT_OK_OFFSET=3
landing\quarantine\40\2026091120.jsonl	0	1	0	
landing\quarantine\40\2026091121.jsonl	0	1	0	
landing\quarantine\40\2026091122.jsonl	0	1	0	
landing\quarantine\40\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\41\2026091209.jsonl	0	1	0	
landing\quarantine\41\2026091210.jsonl	0	1	0	
landing\quarantine\41\2026091211.jsonl	0	1	0	
landing\quarantine\41\2026091215.jsonl	0	1	0	
landing\quarantine\41\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\41\r2-golden55-20260912-172221.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\42\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\42\r2ctl-b31replay-20260912-173418.jsonl	0	1	0	
landing\quarantine\5\2026090621.jsonl	501	3	1	CONTRACT_OK_OFFSET=1
landing\quarantine\7\2026090700.jsonl	822	4	2	CONTRACT_OK_OFFSET=2
landing\quarantine\8\2026090701.jsonl	0	1	0	
landing\quarantine\9\2026090701.jsonl	0	1	0	
tests\golden-dataset\events\golden-20260901.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54

=== GRAND TOTAL BY SHAPE ===
shape	count
CONTRACT_OK_OFFSET	2622616

=== DISTINCT SAMPLES PER SHAPE (max 4) ===
SHAPE CONTRACT_OK_OFFSET -> 2026-09-01T14:21:56+08:00 | 2026-09-01T02:11:59+08:00 | 2026-09-01T04:23:58+08:00 | 2026-09-01T20:00:56+08:00

=== POSITIVE CONTROL ===
CONTROL_FILE	D:\Develop_code\GraduationProject\tests\golden-dataset\events\golden-20260901.jsonl
CONTROL_EXTRACT_COUNT	54
CONTROL_FIRST_VALUE	2026-09-01T09:00:00+08:00
CONTROL_FIRST_CLASS	CONTRACT_OK_OFFSET
NEGATIVE_CONTROL_ABSENT_KEY_COUNT	0
CONTROL_METHOD	Select-String 对照（不使用 git grep / pathspec）
CONTROL_SELECTSTRING_HITS	54
