### 批次 45 隔离明细（quarantine_record, 只读）时间 2026-09-12 22:09:02 
--- 按原因聚合计数据（batch_id=45）---
reason	n
缺失必要字段: event_id	31
payload 缺失必要字段: user_id	18
payload 缺失必要字段: order_id	12
payload 缺失必要字段: amount	5
金额格式违规: cost 类型异常	4
非法 behavior_type: add_cart	2
非法 behavior_type: cancel	2
非法 behavior_type: pay_later	2
非法 behavior_type: purchase	2
payload 缺失必要字段: age_group	1
payload 缺失必要字段: behavior_type	1
payload 缺失必要字段: category_id	1
payload 缺失必要字段: items	1
payload 缺失必要字段: member_level	1
payload 缺失必要字段: payment_id	1
payload 缺失必要字段: price	1
payload 缺失必要字段: reason	1
payload 缺失必要字段: refund_id	1
payload 缺失必要字段: session_id	1
payload 缺失必要字段: total_amount	1
payload 缺失或非对象	1
缺失必要字段: event_time	1
缺失必要字段: event_type	1
缺失必要字段: ingest_time	1
缺失必要字段: schema_version	1
缺失必要字段: source_system	1
缺失必要字段: trace_id	1
--- 逐行明细（batch_id=45，按 raw_path, id 排序）---
id	event_id	schema_version	reason	quar_file
152	b1b-evt-0010	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
153	b1b-evt-0011	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
154	b1b-evt-0012	1.0	payload 缺失必要字段: user_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
155	b1b-evt-0013	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
156	b1b-evt-0014	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
157	b1b-evt-0015	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
158	b1b-evt-0016	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
159	b1b-evt-0017	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
160	b1b-evt-0018	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
161	b1b-evt-0019	1.0	payload 缺失必要字段: order_id	D:\Develop_code\GraduationProject\landing\quarantine\45\b1b-payload-vocab.jsonl
