# contract-specs 裸锚点台账（D-065 裁决 3）—— 只减不增；每次删减/重建须在看板登记
# 重建时间：2026-09-12 13:10:18    重建命令：pwsh -File scripts/check-bare-anchors.ps1 -WriteLedger
# 口径：锚点=`§<节号> L<行号>`；裸锚点=同一行前 100 字符内既无文件名(*.md|json|yaml|yml|java|scala|sql|txt|csv)也无版本号(V<x>.<y>)
# 本次实测：裸锚点出现次数 = 201 ，去重 (文件|锚点文本) = 113 行
# 与 D-065 事实 1 的 258 的关系：258 = 审计脚本 audit-anchors.ps1 口径（只排除 V2.1/V2.3 前缀、只扫 5 个文件）的出现次数；
#   本台账按"规则口径"登记，两者的差全部是**已带版本前缀或文件名**的锚点（按规则本就合规，不计为负债）。两个数字都必须引用。
# 行数基线（只减不增）= 113
# 字段：文件|锚点文本|出现次数
contract-specs\schemas\canonical-event.v1.schema.json|§2.7 L119|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.7 L120|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.8 L126|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.8 L127|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.8 L128|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.8 L129|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.8 L130|1
contract-specs\schemas\canonical-event.v1.schema.json|§2.9 L136|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.9 L137|3
contract-specs\schemas\canonical-event.v1.schema.json|§2.9 L138|2
contract-specs\schemas\canonical-event.v1.schema.json|§2.9 L139|4
contract-specs\schemas\canonical-event.v1.schema.json|§3 L154|1
contract-specs\schemas\canonical-event.v1.schema.json|§3 L160|1
contract-specs\schemas\canonical-event.v1.schema.json|§4 L166|2
contract-specs\schemas\canonical-event.v1.schema.json|§4 L167|1
contract-specs\schemas\canonical-event.v1.schema.json|§4 L168|10
contract-specs\schemas\generation-artifact-manifest.v1.schema.json|§4.1 L120|1
